_id,median_max_forward,median_max_reverse,plc,time
63349b8d233402ab79d16bfa,-1,-1,7,2022-09-29T03:07:57.000Z
63349b8e233402ab79d16bfd,-1,-1,17,2022-09-29T03:07:58.000Z
63349b90233402ab79d16c01,-1,-1,8,2022-09-29T03:08:00.000Z
63349b91233402ab79d16c03,-1,-1,14,2022-09-29T03:08:00.000Z
63349b92233402ab79d16c06,-1,-1,22,2022-09-29T03:08:01.000Z
63349b92233402ab79d16c08,-1,-1,24,2022-09-29T03:08:02.000Z
63349b92233402ab79d16c0a,-1,-1,25,2022-09-29T03:08:02.000Z
63349b92233402ab79d16c0c,-1,-1,28,2022-09-29T03:08:02.000Z
63349b94233402ab79d16c11,-1,-1,37,2022-09-29T03:08:04.000Z
63349b94233402ab79d16c13,-1,-1,38,2022-09-29T03:08:04.000Z
63349b96233402ab79d16c17,118.5,103.5,44,2022-09-29T03:08:05.000Z
63349b96233402ab79d16c19,-1,-1,45,2022-09-29T03:08:06.000Z
63349b96233402ab79d16c1b,-1,-1,46,2022-09-29T03:08:06.000Z
63349b98233402ab79d16c1f,-1,-1,50,2022-09-29T03:08:08.000Z
63349b98233402ab79d16c21,-1,-1,51,2022-09-29T03:08:08.000Z
63349b99233402ab79d16c25,-1,-1,56,2022-09-29T03:08:09.000Z
63349b9a233402ab79d16c27,-1,-1,57,2022-09-29T03:08:09.000Z
63349b9a233402ab79d16c29,196.4,190,59,2022-09-29T03:08:10.000Z
63349b9b233402ab79d16c2b,220.8,189.2,60,2022-09-29T03:08:10.000Z
6334a99c233402ab79d16c2d,-1,-1,2,2022-09-29T04:07:56.000Z
6334a99c233402ab79d16c2f,-1,-1,4,2022-09-29T04:07:56.000Z
6334a99d233402ab79d16c31,-1,-1,5,2022-09-29T04:07:57.000Z
6334a99d233402ab79d16c33,-1,-1,7,2022-09-29T04:07:57.000Z
6334a99e233402ab79d16c36,-1,-1,17,2022-09-29T04:07:58.000Z
6334a9a0233402ab79d16c3a,-1,-1,8,2022-09-29T04:08:00.000Z
6334a9a1233402ab79d16c3c,-1,-1,14,2022-09-29T04:08:00.000Z
6334a9a1233402ab79d16c3f,-1,-1,22,2022-09-29T04:08:01.000Z
6334a9a2233402ab79d16c41,-1,-1,24,2022-09-29T04:08:02.000Z
6334a9a2233402ab79d16c43,-1,-1,25,2022-09-29T04:08:02.000Z
6334a9a2233402ab79d16c45,-1,-1,28,2022-09-29T04:08:02.000Z
6334a9a4233402ab79d16c4a,-1,-1,37,2022-09-29T04:08:04.000Z
6334a9a4233402ab79d16c4c,-1,-1,38,2022-09-29T04:08:04.000Z
6334a9a6233402ab79d16c50,118.5,103.5,44,2022-09-29T04:08:05.000Z
6334a9a6233402ab79d16c52,-1,-1,45,2022-09-29T04:08:06.000Z
6334a9a6233402ab79d16c54,-1,-1,46,2022-09-29T04:08:06.000Z
6334a9a8233402ab79d16c58,-1,-1,50,2022-09-29T04:08:08.000Z
6334a9a8233402ab79d16c5a,-1,-1,51,2022-09-29T04:08:08.000Z
6334a9a9233402ab79d16c5e,-1,-1,56,2022-09-29T04:08:09.000Z
6334a9a9233402ab79d16c60,-1,-1,57,2022-09-29T04:08:09.000Z
6334a9aa233402ab79d16c62,207.6,190,59,2022-09-29T04:08:09.000Z
6334a9ab233402ab79d16c64,220.8,189.2,60,2022-09-29T04:08:10.000Z
6334b7ac233402ab79d16c66,-1,-1,2,2022-09-29T05:07:56.000Z
6334b7ac233402ab79d16c68,-1,-1,4,2022-09-29T05:07:56.000Z
6334b7ad233402ab79d16c6a,-1,-1,5,2022-09-29T05:07:57.000Z
6334b7ad233402ab79d16c6c,-1,-1,7,2022-09-29T05:07:57.000Z
6334b7ae233402ab79d16c6f,-1,-1,17,2022-09-29T05:07:58.000Z
6334b7b0233402ab79d16c73,-1,-1,8,2022-09-29T05:08:00.000Z
6334b7b1233402ab79d16c75,-1,-1,14,2022-09-29T05:08:00.000Z
6334b7b2233402ab79d16c78,-1,-1,22,2022-09-29T05:08:01.000Z
6334b7b2233402ab79d16c7a,-1,-1,24,2022-09-29T05:08:02.000Z
6334b7b2233402ab79d16c7c,-1,-1,25,2022-09-29T05:08:02.000Z
6334b7b2233402ab79d16c7e,-1,-1,28,2022-09-29T05:08:02.000Z
6334b7b4233402ab79d16c83,-1,-1,37,2022-09-29T05:08:04.000Z
6334b7b4233402ab79d16c85,-1,-1,38,2022-09-29T05:08:04.000Z
6334b7b6233402ab79d16c89,118.5,103.5,44,2022-09-29T05:08:06.000Z
6334b7b6233402ab79d16c8b,-1,-1,45,2022-09-29T05:08:06.000Z
6334b7b6233402ab79d16c8d,-1,-1,46,2022-09-29T05:08:06.000Z
6334b7b8233402ab79d16c91,-1,-1,50,2022-09-29T05:08:08.000Z
6334b7b8233402ab79d16c93,-1,-1,51,2022-09-29T05:08:08.000Z
6334b7b9233402ab79d16c97,-1,-1,56,2022-09-29T05:08:09.000Z
6334b7b9233402ab79d16c99,-1,-1,57,2022-09-29T05:08:09.000Z
6334b7ba233402ab79d16c9b,218.4,190,59,2022-09-29T05:08:10.000Z
6334b7bb233402ab79d16c9d,220.8,189.2,60,2022-09-29T05:08:10.000Z
6334c5bc233402ab79d16c9f,-1,-1,2,2022-09-29T06:07:56.000Z
6334c5bc233402ab79d16ca1,-1,-1,4,2022-09-29T06:07:56.000Z
6334c5bd233402ab79d16ca3,-1,-1,5,2022-09-29T06:07:57.000Z
6334c5bd233402ab79d16ca5,-1,-1,7,2022-09-29T06:07:57.000Z
6334c5be233402ab79d16ca8,-1,-1,17,2022-09-29T06:07:58.000Z
6334c5c0233402ab79d16cac,-1,-1,8,2022-09-29T06:08:00.000Z
6334c5c1233402ab79d16cae,-1,-1,14,2022-09-29T06:08:00.000Z
6334c5c2233402ab79d16cb1,-1,-1,22,2022-09-29T06:08:02.000Z
6334c5c2233402ab79d16cb3,-1,-1,24,2022-09-29T06:08:02.000Z
6334c5c2233402ab79d16cb5,-1,-1,25,2022-09-29T06:08:02.000Z
6334c5c2233402ab79d16cb7,-1,-1,28,2022-09-29T06:08:02.000Z
6334c5c4233402ab79d16cbc,-1,-1,37,2022-09-29T06:08:04.000Z
6334c5c4233402ab79d16cbe,-1,-1,38,2022-09-29T06:08:04.000Z
6334c5c6233402ab79d16cc2,118.5,103.5,44,2022-09-29T06:08:06.000Z
6334c5c7233402ab79d16cc4,-1,-1,45,2022-09-29T06:08:06.000Z
6334c5c7233402ab79d16cc6,-1,-1,46,2022-09-29T06:08:07.000Z
6334c5c8233402ab79d16cca,-1,-1,50,2022-09-29T06:08:08.000Z
6334c5c8233402ab79d16ccc,-1,-1,51,2022-09-29T06:08:08.000Z
6334c5ca233402ab79d16cd0,-1,-1,56,2022-09-29T06:08:10.000Z
6334c5ca233402ab79d16cd2,-1,-1,57,2022-09-29T06:08:10.000Z
6334c5cb233402ab79d16cd4,220.4,190,59,2022-09-29T06:08:10.000Z
6334c5cc233402ab79d16cd6,222.4,189.2,60,2022-09-29T06:08:11.000Z
6334d3cc233402ab79d16cd8,-1,-1,2,2022-09-29T07:07:56.000Z
6334d3cc233402ab79d16cda,-1,-1,4,2022-09-29T07:07:56.000Z
6334d3cd233402ab79d16cdc,-1,-1,5,2022-09-29T07:07:57.000Z
6334d3cd233402ab79d16cde,-1,-1,7,2022-09-29T07:07:57.000Z
6334d3ce233402ab79d16ce1,-1,-1,17,2022-09-29T07:07:58.000Z
6334d3d0233402ab79d16ce5,-1,-1,8,2022-09-29T07:08:00.000Z
6334d3d1233402ab79d16ce7,-1,-1,14,2022-09-29T07:08:00.000Z
6334d3d2233402ab79d16cea,-1,-1,22,2022-09-29T07:08:02.000Z
6334d3d2233402ab79d16cec,-1,-1,24,2022-09-29T07:08:02.000Z
6334d3d2233402ab79d16cee,-1,-1,25,2022-09-29T07:08:02.000Z
6334d3d2233402ab79d16cf0,-1,-1,28,2022-09-29T07:08:02.000Z
6334d3d4233402ab79d16cf5,-1,-1,37,2022-09-29T07:08:04.000Z
6334d3d5233402ab79d16cf7,-1,-1,38,2022-09-29T07:08:04.000Z
6334d3d6233402ab79d16cfb,118.5,103.5,44,2022-09-29T07:08:06.000Z
6334d3d7233402ab79d16cfd,-1,-1,45,2022-09-29T07:08:07.000Z
6334d3d7233402ab79d16cff,-1,-1,46,2022-09-29T07:08:07.000Z
6334d3d8233402ab79d16d03,-1,-1,50,2022-09-29T07:08:08.000Z
6334d3d8233402ab79d16d05,-1,-1,51,2022-09-29T07:08:08.000Z
6334d3da233402ab79d16d09,-1,-1,56,2022-09-29T07:08:10.000Z
6334d3da233402ab79d16d0b,-1,-1,57,2022-09-29T07:08:10.000Z
6334d3db233402ab79d16d0d,220.4,190,59,2022-09-29T07:08:10.000Z
6334d3dc233402ab79d16d0f,222.4,189.2,60,2022-09-29T07:08:11.000Z
6334e1dc233402ab79d16d11,-1,-1,2,2022-09-29T08:07:56.000Z
6334e1dc233402ab79d16d13,-1,-1,4,2022-09-29T08:07:56.000Z
6334e1dd233402ab79d16d15,-1,-1,5,2022-09-29T08:07:57.000Z
6334e1dd233402ab79d16d17,-1,-1,7,2022-09-29T08:07:57.000Z
6334e1de233402ab79d16d1a,-1,-1,17,2022-09-29T08:07:58.000Z
6334e1e0233402ab79d16d1e,-1,-1,8,2022-09-29T08:08:00.000Z
6334e1e1233402ab79d16d20,-1,-1,14,2022-09-29T08:08:00.000Z
6334e1e2233402ab79d16d23,-1,-1,22,2022-09-29T08:08:02.000Z
6334e1e2233402ab79d16d25,-1,-1,24,2022-09-29T08:08:02.000Z
6334e1e2233402ab79d16d27,-1,-1,25,2022-09-29T08:08:02.000Z
6334e1e2233402ab79d16d29,-1,-1,28,2022-09-29T08:08:02.000Z
6334e1e4233402ab79d16d2e,-1,-1,37,2022-09-29T08:08:04.000Z
6334e1e5233402ab79d16d30,-1,-1,38,2022-09-29T08:08:04.000Z
6334e1e6233402ab79d16d34,118.5,103.5,44,2022-09-29T08:08:06.000Z
6334e1e7233402ab79d16d36,-1,-1,45,2022-09-29T08:08:07.000Z
6334e1e7233402ab79d16d38,-1,-1,46,2022-09-29T08:08:07.000Z
6334e1e8233402ab79d16d3c,-1,-1,50,2022-09-29T08:08:08.000Z
6334e1e8233402ab79d16d3e,-1,-1,51,2022-09-29T08:08:08.000Z
6334e1ea233402ab79d16d42,-1,-1,56,2022-09-29T08:08:10.000Z
